Date,Opponent,Segment,Arena,Location,Attendance,Home Team,Year
7-Jun-03,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",10481,Sacramento Monarchs,2003
12-Jun-03,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",6011,Sacramento Monarchs,2003
14-Jun-03,Indiana Fever,Regular season,ARCO Arena,"Sacramento, CA",6982,Sacramento Monarchs,2003
21-Jun-03,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",9269,Sacramento Monarchs,2003
24-Jun-03,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",6029,Sacramento Monarchs,2003
2-Jul-03,Washington Mystics,Regular season,ARCO Arena,"Sacramento, CA",6336,Sacramento Monarchs,2003
10-Jul-03,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",9635,Sacramento Monarchs,2003
19-Jul-03,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",9019,Sacramento Monarchs,2003
24-Jul-03,New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",7402,Sacramento Monarchs,2003
26-Jul-03,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",7411,Sacramento Monarchs,2003
31-Jul-03,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",8671,Sacramento Monarchs,2003
3-Aug-03,Charlotte Sting,Regular season,ARCO Arena,"Sacramento, CA",7085,Sacramento Monarchs,2003
9-Aug-03,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",10209,Sacramento Monarchs,2003
15-Aug-03,Detroit Shock,Regular season,ARCO Arena,"Sacramento, CA",8766,Sacramento Monarchs,2003
21-Aug-03,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",9173,Sacramento Monarchs,2003
23-Aug-03,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",15782,Sacramento Monarchs,2003
29-Aug-03,Houston Comets,Western Conference Semifinals,ARCO Arena,"Sacramento, CA",10612,Sacramento Monarchs,2003
5-Sep-03,Los Angeles Sparks,Western Conference Finals,ARCO Arena,"Sacramento, CA",13986,Sacramento Monarchs,2003
22-May-04,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",17317,Sacramento Monarchs,2004
3-Jun-04,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",7625,Sacramento Monarchs,2004
5-Jun-04,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",7094,Sacramento Monarchs,2004
12-Jun-04,Connecticut Sun,Regular season,ARCO Arena,"Sacramento, CA",7770,Sacramento Monarchs,2004
19-Jun-04,Detroit Shock,Regular season,ARCO Arena,"Sacramento, CA",8065,Sacramento Monarchs,2004
25-Jun-04,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",7536,Sacramento Monarchs,2004
27-Jun-04,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",7453,Sacramento Monarchs,2004
1-Jul-04,New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",7826,Sacramento Monarchs,2004
15-Jul-04,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",11275,Sacramento Monarchs,2004
18-Jul-04,Washington Mystics,Regular season,ARCO Arena,"Sacramento, CA",7020,Sacramento Monarchs,2004
22-Jul-04,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",7021,Sacramento Monarchs,2004
25-Jul-04,Indiana Fever,Regular season,ARCO Arena,"Sacramento, CA",7621,Sacramento Monarchs,2004
29-Jul-04,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",9552,Sacramento Monarchs,2004
31-Jul-04,Charlotte Sting,Regular season,ARCO Arena,"Sacramento, CA",7904,Sacramento Monarchs,2004
2-Sep-04,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",9136,Sacramento Monarchs,2004
18-Sep-04,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",11374,Sacramento Monarchs,2004
19-Sep-04,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",9875,Sacramento Monarchs,2004
24-Sep-04,Los Angeles Sparks,Western Conference Semifinals,ARCO Arena,"Sacramento, CA",8426,Sacramento Monarchs,2004
1-Oct-04,Seattle Storm,Western Conference Finals,ARCO Arena,"Sacramento, CA",10662,Sacramento Monarchs,2004
4-Jun-05,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",17317,Sacramento Monarchs,2005
7-Jun-05,Indiana Fever,Regular season,ARCO Arena,"Sacramento, CA",7725,Sacramento Monarchs,2005
10-Jun-05,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",7524,Sacramento Monarchs,2005
13-Jun-05,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",6658,Sacramento Monarchs,2005
17-Jun-05,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",7780,Sacramento Monarchs,2005
24-Jun-05,Connecticut Sun,Regular season,ARCO Arena,"Sacramento, CA",10067,Sacramento Monarchs,2005
14-Jul-05,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",10831,Sacramento Monarchs,2005
16-Jul-05,Washington Mystics,Regular season,ARCO Arena,"Sacramento, CA",7803,Sacramento Monarchs,2005
22-Jul-05,New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",6490,Sacramento Monarchs,2005
24-Jul-05,Detroit Shock,Regular season,ARCO Arena,"Sacramento, CA",7297,Sacramento Monarchs,2005
26-Jul-05,Charlotte Sting,Regular season,ARCO Arena,"Sacramento, CA",6264,Sacramento Monarchs,2005
29-Jul-05,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",7502,Sacramento Monarchs,2005
31-Jul-05,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",5708,Sacramento Monarchs,2005
7-Aug-05,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",7471,Sacramento Monarchs,2005
18-Aug-05,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",6767,Sacramento Monarchs,2005
20-Aug-05,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",13027,Sacramento Monarchs,2005
23-Aug-05,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",8982,Sacramento Monarchs,2005
2-Sep-05,Los Angeles Sparks,Western Conference Semifinals,ARCO Arena,"Sacramento, CA",10193,Sacramento Monarchs,2005
10-Sep-05,Houston Comets,Western Conference Finals,ARCO Arena,"Sacramento, CA",8635,Sacramento Monarchs,2005
18-Sep-05,Connecticut Sun,Finals,ARCO Arena,"Sacramento, CA",14073,Sacramento Monarchs,2005
20-Sep-05,Connecticut Sun,Finals,ARCO Arena,"Sacramento, CA",15002,Sacramento Monarchs,2005
20-May-06,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",17317,Sacramento Monarchs,2006
25-May-06,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",6231,Sacramento Monarchs,2006
31-May-06,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",6055,Sacramento Monarchs,2006
2-Jun-06,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",7123,Sacramento Monarchs,2006
10-Jun-06,Chicago Sky,Regular season,ARCO Arena,"Sacramento, CA",10416,Sacramento Monarchs,2006
17-Jun-06,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",7331,Sacramento Monarchs,2006
21-Jun-06,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",6902,Sacramento Monarchs,2006
23-Jun-06,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",7737,Sacramento Monarchs,2006
25-Jun-06,Indiana Fever,Regular season,ARCO Arena,"Sacramento, CA",12947,Sacramento Monarchs,2006
29-Jun-06,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",7395,Sacramento Monarchs,2006
9-Jul-06,Charlotte Sting,Regular season,ARCO Arena,"Sacramento, CA",6762,Sacramento Monarchs,2006
15-Jul-06,Connecticut Sun,Regular season,ARCO Arena,"Sacramento, CA",7997,Sacramento Monarchs,2006
20-Jul-06,New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",12876,Sacramento Monarchs,2006
30-Jul-06,Detroit Shock,Regular season,ARCO Arena,"Sacramento, CA",7369,Sacramento Monarchs,2006
1-Aug-06,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",6775,Sacramento Monarchs,2006
5-Aug-06,Washington Mystics,Regular season,ARCO Arena,"Sacramento, CA",8340,Sacramento Monarchs,2006
10-Aug-06,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",8166,Sacramento Monarchs,2006
19-Aug-06,Houston Comets,Western Conference Semifinals,ARCO Arena,"Sacramento, CA",9994,Sacramento Monarchs,2006
24-Aug-06,Los Angeles Sparks,Western Conference Finals,ARCO Arena,"Sacramento, CA",9285,Sacramento Monarchs,2006
3-Sep-06,Detroit Shock,Finals,ARCO Arena,"Sacramento, CA",14253,Sacramento Monarchs,2006
6-Sep-06,Detroit Shock,Finals,ARCO Arena,"Sacramento, CA",14213,Sacramento Monarchs,2006
2-Jun-07,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",17317,Sacramento Monarchs,2007
5-Jun-07,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",6307,Sacramento Monarchs,2007
7-Jun-07,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",6600,Sacramento Monarchs,2007
9-Jun-07,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",6956,Sacramento Monarchs,2007
16-Jun-07,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",6999,Sacramento Monarchs,2007
23-Jun-07,Detroit Shock,Regular season,ARCO Arena,"Sacramento, CA",11309,Sacramento Monarchs,2007
26-Jun-07,New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",6464,Sacramento Monarchs,2007
29-Jun-07,Chicago Sky,Regular season,ARCO Arena,"Sacramento, CA",6862,Sacramento Monarchs,2007
1-Jul-07,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",7563,Sacramento Monarchs,2007
12-Jul-07,Connecticut Sun,Regular season,ARCO Arena,"Sacramento, CA",6498,Sacramento Monarchs,2007
24-Jul-07,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",7196,Sacramento Monarchs,2007
26-Jul-07,Indiana Fever,Regular season,ARCO Arena,"Sacramento, CA",13320,Sacramento Monarchs,2007
29-Jul-07,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",7477,Sacramento Monarchs,2007
3-Aug-07,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",8013,Sacramento Monarchs,2007
12-Aug-07,Washington Mystics,Regular season,ARCO Arena,"Sacramento, CA",7695,Sacramento Monarchs,2007
15-Aug-07,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",7172,Sacramento Monarchs,2007
17-Aug-07,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",8831,Sacramento Monarchs,2007
23-Aug-07,San Antonio Silver Stars,Western Conference Semifinals,ARCO Arena,"Sacramento, CA",10126,Sacramento Monarchs,2007
17-May-08,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",16225,Sacramento Monarchs,2008
30-May-08,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",6491,Sacramento Monarchs,2008
6-Jun-08,Detroit Shock,Regular season,ARCO Arena,"Sacramento, CA",6663,Sacramento Monarchs,2008
14-Jun-08,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",10577,Sacramento Monarchs,2008
20-Jun-08,Connecticut Sun,Regular season,ARCO Arena,"Sacramento, CA",5895,Sacramento Monarchs,2008
22-Jun-08,Chicago Sky,Regular season,ARCO Arena,"Sacramento, CA",6107,Sacramento Monarchs,2008
28-Jun-08,New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",6878,Sacramento Monarchs,2008
1-Jul-08,Washington Mystics,Regular season,ARCO Arena,"Sacramento, CA",5705,Sacramento Monarchs,2008
8-Jul-08,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",5727,Sacramento Monarchs,2008
10-Jul-08,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",6697,Sacramento Monarchs,2008
12-Jul-08,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",7044,Sacramento Monarchs,2008
18-Jul-08,Atlanta Dream,Regular season,ARCO Arena,"Sacramento, CA",7236,Sacramento Monarchs,2008
24-Jul-08,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",11946,Sacramento Monarchs,2008
26-Jul-08,Indiana Fever,Regular season,ARCO Arena,"Sacramento, CA",7082,Sacramento Monarchs,2008
30-Aug-08,Houston Comets,Regular season,ARCO Arena,"Sacramento, CA",9156,Sacramento Monarchs,2008
7-Sep-08,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",7999,Sacramento Monarchs,2008
9-Sep-08,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",11644,Sacramento Monarchs,2008
18-Sep-08,San Antonio Silver Stars,Western Conference Semifinals,ARCO Arena,"Sacramento, CA",7740,Sacramento Monarchs,2008
6-Jun-09,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",14824,Sacramento Monarchs,2009
12-Jun-09,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",6438,Sacramento Monarchs,2009
16-Jun-09,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",7736,Sacramento Monarchs,2009
7-Jul-09,Chicago Sky,Regular season,ARCO Arena,"Sacramento, CA",5672,Sacramento Monarchs,2009
11-Jul-09,Phoenix Mercury,Regular season,ARCO Arena,"Sacramento, CA",7798,Sacramento Monarchs,2009
17-Jul-09,Seattle Storm,Regular season,ARCO Arena,"Sacramento, CA",6386,Sacramento Monarchs,2009
19-Jul-09,Detroit Shock,Regular season,ARCO Arena,"Sacramento, CA",7538,Sacramento Monarchs,2009
30-Jul-09,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",10461,Sacramento Monarchs,2009
1-Aug-09,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",7204,Sacramento Monarchs,2009
7-Aug-09,New York Liberty,Regular season,ARCO Arena,"Sacramento, CA",6284,Sacramento Monarchs,2009
15-Aug-09,Los Angeles Sparks,Regular season,ARCO Arena,"Sacramento, CA",7646,Sacramento Monarchs,2009
20-Aug-09,Indiana Fever,Regular season,ARCO Arena,"Sacramento, CA",6290,Sacramento Monarchs,2009
22-Aug-09,Washington Mystics,Regular season,ARCO Arena,"Sacramento, CA",7067,Sacramento Monarchs,2009
1-Sep-09,Connecticut Sun,Regular season,ARCO Arena,"Sacramento, CA",6015,Sacramento Monarchs,2009
4-Sep-09,Atlanta Dream,Regular season,ARCO Arena,"Sacramento, CA",6517,Sacramento Monarchs,2009
10-Sep-09,San Antonio Silver Stars,Regular season,ARCO Arena,"Sacramento, CA",7566,Sacramento Monarchs,2009
13-Sep-09,Minnesota Lynx,Regular season,ARCO Arena,"Sacramento, CA",10212,Sacramento Monarchs,2009
24-May-03,Seattle Storm,Regular season,AT&T Center,"San Antonio, TX",15593,San Antonio Stars,2003
30-May-03,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",8845,San Antonio Stars,2003
1-Jun-03,Connecticut Sun,Regular season,AT&T Center,"San Antonio, TX",7692,San Antonio Stars,2003
5-Jun-03,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",8774,San Antonio Stars,2003
7-Jun-03,Detroit Shock,Regular season,AT&T Center,"San Antonio, TX",8584,San Antonio Stars,2003
14-Jun-03,Charlotte Sting,Regular season,AT&T Center,"San Antonio, TX",8811,San Antonio Stars,2003
20-Jun-03,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",11791,San Antonio Stars,2003
26-Jun-03,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",14791,San Antonio Stars,2003
5-Jul-03,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",9370,San Antonio Stars,2003
17-Jul-03,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",8383,San Antonio Stars,2003
19-Jul-03,Washington Mystics,Regular season,AT&T Center,"San Antonio, TX",11530,San Antonio Stars,2003
27-Jul-03,Cleveland Rockers,Regular season,AT&T Center,"San Antonio, TX",8628,San Antonio Stars,2003
1-Aug-03,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",11861,San Antonio Stars,2003
7-Aug-03,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",9573,San Antonio Stars,2003
9-Aug-03,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",11395,San Antonio Stars,2003
16-Aug-03,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",11890,San Antonio Stars,2003
20-Aug-03,Seattle Storm,Regular season,AT&T Center,"San Antonio, TX",9045,San Antonio Stars,2003
22-May-04,Detroit Shock,Regular season,AT&T Center,"San Antonio, TX",10506,San Antonio Stars,2004
26-May-04,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",6517,San Antonio Stars,2004
28-May-04,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",8054,San Antonio Stars,2004
1-Jun-04,Indiana Fever,Regular season,AT&T Center,"San Antonio, TX",6417,San Antonio Stars,2004
5-Jun-04,New York Liberty,Regular season,AT&T Center,"San Antonio, TX",7913,San Antonio Stars,2004
12-Jun-04,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",8764,San Antonio Stars,2004
19-Jun-04,Seattle Storm,Regular season,AT&T Center,"San Antonio, TX",8558,San Antonio Stars,2004
24-Jun-04,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",8248,San Antonio Stars,2004
29-Jun-04,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",8924,San Antonio Stars,2004
9-Jul-04,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",9845,San Antonio Stars,2004
15-Jul-04,Connecticut Sun,Regular season,AT&T Center,"San Antonio, TX",7939,San Antonio Stars,2004
30-Jul-04,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",8861,San Antonio Stars,2004
31-Jul-04,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",9744,San Antonio Stars,2004
4-Sep-04,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",9246,San Antonio Stars,2004
9-Sep-04,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",7805,San Antonio Stars,2004
15-Sep-04,Washington Mystics,Regular season,AT&T Center,"San Antonio, TX",7551,San Antonio Stars,2004
17-Sep-04,Charlotte Sting,Regular season,AT&T Center,"San Antonio, TX",9552,San Antonio Stars,2004
21-May-05,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",9369,San Antonio Stars,2005
27-May-05,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",7550,San Antonio Stars,2005
2-Jun-05,Charlotte Sting,Regular season,AT&T Center,"San Antonio, TX",8380,San Antonio Stars,2005
7-Jun-05,Washington Mystics,Regular season,AT&T Center,"San Antonio, TX",9564,San Antonio Stars,2005
11-Jun-05,Connecticut Sun,Regular season,AT&T Center,"San Antonio, TX",9772,San Antonio Stars,2005
18-Jun-05,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",9269,San Antonio Stars,2005
30-Jun-05,Seattle Storm,Regular season,AT&T Center,"San Antonio, TX",7451,San Antonio Stars,2005
2-Jul-05,New York Liberty,Regular season,AT&T Center,"San Antonio, TX",7227,San Antonio Stars,2005
5-Jul-05,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",6836,San Antonio Stars,2005
23-Jul-05,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",9098,San Antonio Stars,2005
26-Jul-05,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",6823,San Antonio Stars,2005
2-Aug-05,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",6310,San Antonio Stars,2005
5-Aug-05,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",9000,San Antonio Stars,2005
11-Aug-05,Indiana Fever,Regular season,AT&T Center,"San Antonio, TX",6629,San Antonio Stars,2005
13-Aug-05,Detroit Shock,Regular season,AT&T Center,"San Antonio, TX",6646,San Antonio Stars,2005
23-Aug-05,Seattle Storm,Regular season,AT&T Center,"San Antonio, TX",5508,San Antonio Stars,2005
26-Aug-05,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",9622,San Antonio Stars,2005
23-May-06,Indiana Fever,Regular season,AT&T Center,"San Antonio, TX",6676,San Antonio Stars,2006
25-May-06,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",6385,San Antonio Stars,2006
9-Jun-06,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",5998,San Antonio Stars,2006
10-Jun-06,New York Liberty,Regular season,AT&T Center,"San Antonio, TX",8103,San Antonio Stars,2006
16-Jun-06,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",6164,San Antonio Stars,2006
27-Jun-06,Detroit Shock,Regular season,AT&T Center,"San Antonio, TX",6287,San Antonio Stars,2006
1-Jul-06,Chicago Sky,Regular season,AT&T Center,"San Antonio, TX",6060,San Antonio Stars,2006
7-Jul-06,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",6773,San Antonio Stars,2006
18-Jul-06,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",7462,San Antonio Stars,2006
21-Jul-06,Washington Mystics,Regular season,AT&T Center,"San Antonio, TX",7750,San Antonio Stars,2006
22-Jul-06,Connecticut Sun,Regular season,AT&T Center,"San Antonio, TX",7559,San Antonio Stars,2006
26-Jul-06,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",7539,San Antonio Stars,2006
28-Jul-06,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",9088,San Antonio Stars,2006
1-Aug-06,Charlotte Sting,Regular season,AT&T Center,"San Antonio, TX",6965,San Antonio Stars,2006
3-Aug-06,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",7039,San Antonio Stars,2006
10-Aug-06,Seattle Storm,Regular season,AT&T Center,"San Antonio, TX",9082,San Antonio Stars,2006
12-Aug-06,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",10634,San Antonio Stars,2006
23-May-07,Connecticut Sun,Regular season,AT&T Center,"San Antonio, TX",8574,San Antonio Stars,2007
25-May-07,Seattle Storm,Regular season,AT&T Center,"San Antonio, TX",5806,San Antonio Stars,2007
31-May-07,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",5247,San Antonio Stars,2007
9-Jun-07,Chicago Sky,Regular season,AT&T Center,"San Antonio, TX",9899,San Antonio Stars,2007
16-Jun-07,New York Liberty,Regular season,AT&T Center,"San Antonio, TX",6652,San Antonio Stars,2007
20-Jun-07,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",4070,San Antonio Stars,2007
29-Jun-07,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",7627,San Antonio Stars,2007
7-Jul-07,Seattle Storm,Regular season,AT&T Center,"San Antonio, TX",7510,San Antonio Stars,2007
20-Jul-07,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",7567,San Antonio Stars,2007
27-Jul-07,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",10262,San Antonio Stars,2007
31-Jul-07,Detroit Shock,Regular season,AT&T Center,"San Antonio, TX",8267,San Antonio Stars,2007
2-Aug-07,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",6914,San Antonio Stars,2007
4-Aug-07,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",8116,San Antonio Stars,2007
7-Aug-07,Washington Mystics,Regular season,AT&T Center,"San Antonio, TX",7210,San Antonio Stars,2007
9-Aug-07,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",6491,San Antonio Stars,2007
11-Aug-07,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",9516,San Antonio Stars,2007
17-Aug-07,Indiana Fever,Regular season,AT&T Center,"San Antonio, TX",8952,San Antonio Stars,2007
25-Aug-07,Sacramento Monarchs,Western Conference Semifinals,AT&T Center,"San Antonio, TX",5735,San Antonio Stars,2007
27-Aug-07,Sacramento Monarchs,Western Conference Semifinals,AT&T Center,"San Antonio, TX",7126,San Antonio Stars,2007
30-Aug-07,Phoenix Mercury,Western Conference Finals,AT&T Center,"San Antonio, TX",14592,San Antonio Stars,2007
20-May-08,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",9103,San Antonio Stars,2008
24-May-08,Seattle Storm,Regular season,AT&T Center,"San Antonio, TX",9767,San Antonio Stars,2008
6-Jun-08,Washington Mystics,Regular season,AT&T Center,"San Antonio, TX",5800,San Antonio Stars,2008
11-Jun-08,Indiana Fever,Regular season,AT&T Center,"San Antonio, TX",6262,San Antonio Stars,2008
13-Jun-08,Seattle Storm,Regular season,AT&T Center,"San Antonio, TX",6478,San Antonio Stars,2008
20-Jun-08,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",10221,San Antonio Stars,2008
24-Jun-08,Houston Comets,Regular season,AT&T Center,"San Antonio, TX",7226,San Antonio Stars,2008
28-Jun-08,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",7513,San Antonio Stars,2008
1-Jul-08,Detroit Shock,Regular season,AT&T Center,"San Antonio, TX",5656,San Antonio Stars,2008
3-Jul-08,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",6568,San Antonio Stars,2008
8-Jul-08,New York Liberty,Regular season,AT&T Center,"San Antonio, TX",6107,San Antonio Stars,2008
11-Jul-08,Atlanta Dream,Regular season,AT&T Center,"San Antonio, TX",10943,San Antonio Stars,2008
19-Jul-08,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",8614,San Antonio Stars,2008
24-Jul-08,Chicago Sky,Regular season,AT&T Center,"San Antonio, TX",9372,San Antonio Stars,2008
5-Sep-08,Los Angeles Sparks,Regular season,AT&T Center,"San Antonio, TX",9531,San Antonio Stars,2008
11-Sep-08,Connecticut Sun,Regular season,AT&T Center,"San Antonio, TX",6791,San Antonio Stars,2008
13-Sep-08,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",9770,San Antonio Stars,2008
20-Sep-08,Sacramento Monarchs,Western Conference Semifinals,AT&T Center,"San Antonio, TX",7807,San Antonio Stars,2008
22-Sep-08,Sacramento Monarchs,Western Conference Semifinals,AT&T Center,"San Antonio, TX",4247,San Antonio Stars,2008
27-Sep-08,Los Angeles Sparks,Western Conference Finals,AT&T Center,"San Antonio, TX",7715,San Antonio Stars,2008
28-Sep-08,Los Angeles Sparks,Western Conference Finals,AT&T Center,"San Antonio, TX",7111,San Antonio Stars,2008
1-Oct-08,Detroit Shock,Finals,AT&T Center,"San Antonio, TX",9380,San Antonio Stars,2008
3-Oct-08,Detroit Shock,Finals,AT&T Center,"San Antonio, TX",16012,San Antonio Stars,2008
13-Jun-09,New York Liberty,Regular season,AT&T Center,"San Antonio, TX",10572,San Antonio Stars,2009
23-Jun-09,Phoenix Mercury,Regular season,AT&T Center,"San Antonio, TX",6692,San Antonio Stars,2009
26-Jun-09,Sacramento Monarchs,Regular season,AT&T Center,"San Antonio, TX",7973,San Antonio Stars,2009
30-Jun-09,Washington Mystics,Regular season,AT&T Center,"San Antonio, TX",4723,San Antonio Stars,2009
3-Jul-09,Chicago Sky,Regular season,AT&T Center,"San Antonio, TX",6662,San Antonio Stars,2009
12-Jul-09,Minnesota Lynx,Regular season,AT&T Center,"San Antonio, TX",6568,San Antonio Stars,2009
